,custid,region,townsize,gender,age,agecat,birthmonth,ed,edcat,jobcat,union,employ,empcat,retire,income,lninc,inccat,debtinc,creddebt,lncreddebt,othdebt,lnothdebt,default,jobsat,marital,spoused,spousedcat,reside,pets,pets_cats,pets_dogs,pets_birds,pets_reptiles,pets_small,pets_saltfish,pets_freshfish,homeown,hometype,address,addresscat,cars,carown,cartype,carvalue,carcatvalue,carbought,carbuy,commute,commutecat,commutetime,commutecar,commutemotorcycle,commutecarpool,commutebus,commuterail,commutepublic,commutebike,commutewalk,commutenonmotor,telecommute,reason,polview,polparty,polcontrib,vote,card,cardtype,cardbenefit,cardfee,cardtenure,cardtenurecat,card2,card2type,card2benefit,card2fee,card2tenure,card2tenurecat,carditems,cardspent,card2items,card2spent,active,bfast,tenure,churn,longmon,lnlongmon,longten,lnlongten,tollfree,tollmon,lntollmon,tollten,lntollten,equip,equipmon,lnequipmon,equipten,lnequipten,callcard,cardmon,lncardmon,cardten,lncardten,wireless,wiremon,lnwiremon,wireten,lnwireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,owntv,hourstv,ownvcr,owndvd,owncd,ownpda,ownpc,ownipod,owngame,ownfax,news,response_01,response_02,response_03,filter_$
0,3964-QJWTRG-NPN,Zone 1,"50,000-249,999",Female,20.0,18-24,September,15.0,Some college,Managerial and Professional,Yes,0.0,Less than 2,No,31.0,3.4339872044851463,$25 - $49,11.1,1.2009089999999998,0.18307877003563325,2.240091,0.8065164900417755,Yes,Highly dissatisfied,Unmarried,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rent,Multiple-Family,0.0,Less than 3,2.0,Own,Domestic,14.3,Economy,No,No,Walk,Non-motorized,22.0,No,Yes,Yes,No,No,No,No,Yes,No,No,,Conservative,Yes,No,Yes,Mastercard,None,None,No,2.0,2 to 5,Other,Platinum,None,No,3.0,2 to 5,5.0,81.66,4.0,67.8,No,Cereal,5.0,Yes,6.5,1.8718021769015913,34.4,3.5380565643793527,Yes,29.0,3.367295829986474,161.05,5.081714875777208,Yes,29.5,3.3843902633457743,126.1,4.837075242970874,Yes,14.25,2.6567569067146595,60.0,4.0943445622221,No,0.0,,0.0,,Yes,Yes,Yes,None,No,Yes,Yes,Yes,No,Yes,13.0,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,1.0
1,5195-TLUDJE-HVO,Zone 3,"2,500-9,999",Female,67.0,>65,June,14.0,High school degree,Sales and Office,No,16.0,More than 15,No,35.0,3.5553480614894135,$25 - $49,9.9,0.9286200000000001,-0.0740556658294137,2.5363800000000003,0.9307378676210412,No,Somewhat satisfied,Married,13.0,High school degree,3.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,Own,Single-family,30.0,More than 25,3.0,Own,Import,18.8,Economy,No,Yes,Bus,Public transportation,24.0,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Convenience,Slightly conservative,Yes,No,No,Visa,None,Other,No,35.0,More than 15,Discover,None,Airline miles,No,25.0,More than 15,9.0,184.22,7.0,175.75,No,Cereal,65.0,No,28.4,3.3463891451671604,1858.35,7.527444276229858,No,0.0,,0.0,,No,0.0,,0.0,,Yes,23.0,3.1354942159291497,1410.0,7.251344983372214,No,0.0,,0.0,,Yes,No,No,None,No,No,No,No,No,Yes,21.0,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,1.0
2,4459-VLPQUH-3OL,Zone 4,"10,000-49,999",Male,23.0,18-24,May,16.0,Some college,Sales and Office,No,0.0,Less than 2,No,20.0,2.995732273553991,Under $25,5.7,0.022800000000000004,-3.7809947430217417,1.1172000000000002,0.11082555508888482,Yes,Somewhat dissatisfied,Married,18.0,College degree,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Own,Condominium/Townhouse,3.0,4 to 7,3.0,Own,Import,8.700000000000001,Economy,No,Yes,Car,Single occupancy,38.0,Yes,No,No,No,No,No,No,No,No,No,,Slightly liberal,No,No,No,Visa,None,Other,No,5.0,2 to 5,Mastercard,Gold,Other,No,5.0,2 to 5,17.0,340.99,1.0,18.42,Yes,Energy bar,36.0,No,6.0,1.791759469228055,199.45,5.295563578351415,No,0.0,,0.0,,No,0.0,,0.0,,Yes,21.0,3.044522437723423,685.0,6.529418838262226,No,0.0,,0.0,,Yes,No,No,DSL,No,No,No,No,Yes,Yes,26.0,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,1.0
3,7432-QKQFJJ-K72,Zone 2,"< 2,500",Female,52.0,50-64,July,14.0,High school degree,Managerial and Professional,No,10.0,6 to 10,No,77.0,4.343805421853684,$75 - $124,1.9,0.501809,-0.68953570977821,0.9611909999999999,-0.03958213845953938,No,Somewhat dissatisfied,Unmarried,,,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Rent,Condominium/Townhouse,21.0,16 to 25,2.0,Own,Domestic,25.6,Standard,Yes,No,Bus,Public transportation,32.0,Yes,No,No,Yes,No,No,Yes,Yes,No,No,,Moderate,No,No,No,Other,Platinum,None,Yes,3.0,2 to 5,Visa,Platinum,Other,No,2.0,2 to 5,20.0,822.32,5.0,130.14000000000001,No,Oatmeal,15.0,No,3.8,1.33500106673234,44.8,3.8022081394209395,No,0.0,,0.0,,No,0.0,,0.0,,No,0.0,,0.0,,No,0.0,,0.0,,No,No,No,Dial-up,No,No,Yes,No,No,Yes,19.0,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,1.0
4,8959-RZWRHU-ST8,Zone 3,"2,500-9,999",Female,44.0,35-49,October,16.0,Some college,Managerial and Professional,No,11.0,11 to 15,No,97.0,4.574710978503383,$75 - $124,14.399999999999999,5.950367999999999,1.7834530663844796,8.017631999999999,2.081643116434676,No,Highly satisfied,Married,15.0,Some college,2.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,Own,Condominium/Townhouse,20.0,16 to 25,1.0,Own,Domestic,55.5,Luxury,No,Yes,Train/Subway,Public transportation,31.0,No,No,No,No,Yes,No,No,No,No,No,Convenience,Conservative,No,No,Yes,American Express,None,Other,No,25.0,More than 15,Mastercard,None,Other,No,20.0,More than 15,6.0,592.7,7.0,712.1,No,Cereal,46.0,No,14.85,2.6979998652487085,612.7,6.417875419731609,Yes,24.0,3.1780538303479458,1110.4,7.01247558975254,No,0.0,,0.0,,Yes,14.5,2.6741486494265287,630.0,6.4457198193855785,No,0.0,,0.0,,Yes,No,No,None,Yes,Yes,Yes,Yes,No,Yes,13.0,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,1.0
5,3512-MUWBGY-52X,Zone 2,"50,000-249,999",Male,47.0,35-49,July,11.0,Did not complete high school,"Operation, Fabrication, General Labor",No,19.0,More than 15,No,84.0,4.430816798843313,$75 - $124,4.1000000000000005,1.7702159999999998,0.5711015730385123,1.6737840000000002,0.5150869314838412,No,Somewhat satisfied,Unmarried,,,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Own,Single-family,19.0,16 to 25,4.0,Own,Domestic,41.0,Luxury,Yes,No,Car,Single occupancy,29.0,Yes,Yes,No,No,No,No,No,No,No,No,,Slightly liberal,Yes,Yes,Yes,Other,Other,None,No,2.0,2 to 5,Visa,Gold,None,No,2.0,2 to 5,11.0,199.64000000000001,5.0,111.17,Yes,Cereal,3.0,Yes,3.65,1.2947271675944,20.05,2.998229153752578,No,0.0,,0.0,,No,0.0,,0.0,,No,0.0,,0.0,,No,0.0,,0.0,,No,No,No,None,No,No,No,No,No,Yes,21.0,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,1.0
6,5621-QSZPSF-NF2,Zone 4,"> 250,000",Female,59.0,50-64,July,19.0,College degree,Managerial and Professional,No,8.0,6 to 10,No,47.0,3.8501476017100584,$25 - $49,8.6,1.3581119999999998,0.3060954999624963,2.683888,0.987266489475726,No,Neutral,Unmarried,,,1.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,Rent,Multiple-Family,14.0,8 to 15,3.0,Own,Domestic,28.0,Standard,No,Yes,Car,Single occupancy,17.0,Yes,No,No,Yes,No,No,No,No,No,No,,Moderate,No,No,Yes,Discover,Platinum,Other,No,16.0,More than 15,American Express,None,Other,No,17.0,More than 15,11.0,488.97,7.0,322.07,No,Cereal,50.0,Yes,8.55,2.145931282948669,446.55,6.101551376129895,No,0.0,,0.0,,Yes,31.2,3.4404180948154366,1568.35,7.357779390287465,Yes,19.0,2.9444389791664403,930.0,6.835184586147301,No,0.0,,0.0,,Yes,No,No,Cable modem,No,Yes,No,No,Yes,Yes,26.0,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,1.0
7,8795-FYOXCT-P09,Zone 5,"50,000-249,999",Male,44.0,35-49,March,10.0,Did not complete high school,Managerial and Professional,No,12.0,11 to 15,No,73.0,4.290459441148391,$50 - $74,2.8000000000000003,1.250928,0.22388567587164707,0.793072,-0.23184126701740562,No,Highly satisfied,Unmarried,,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Own,Condominium/Townhouse,9.0,8 to 15,1.0,Own,Import,38.5,Standard,No,Yes,Car,Single occupancy,25.0,Yes,No,No,No,No,No,No,No,No,No,,Moderate,Yes,No,Yes,Discover,Other,None,Yes,1.0,Less than 2,American Express,Platinum,None,No,1.0,Less than 2,12.0,534.36,5.0,198.39000000000001,No,Cereal,5.0,No,6.75,1.9095425048844386,29.9,3.3978584803966405,No,0.0,,0.0,,No,0.0,,0.0,,Yes,7.0,1.9459101490553132,30.0,3.4011973816621555,No,0.0,,0.0,,No,No,No,Dial-up,Yes,Yes,Yes,Yes,No,Yes,21.0,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,1.0
8,1705-NMIQNO-IC4,Zone 3,"50,000-249,999",Male,58.0,50-64,January,18.0,College degree,Managerial and Professional,No,3.0,2 to 5,No,63.0,4.143134726391533,$50 - $74,10.5,1.9249649999999996,0.6549077857562743,4.690035,1.5454400451169095,No,Neutral,Unmarried,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Own,Mobile Home,32.0,More than 25,0.0,,,,,,No,Carpool,Multiple occupancy,16.0,No,No,Yes,Yes,No,No,No,No,No,No,,Moderate,No,No,Yes,Discover,Platinum,Other,No,25.0,More than 15,Mastercard,Other,None,No,17.0,More than 15,10.0,593.5,5.0,384.94,Yes,Energy bar,58.0,No,12.1,2.4932054526026954,680.75,6.5231951315538685,Yes,30.75,3.4258899942525267,1776.7,7.482512990041861,No,0.0,,0.0,,Yes,24.5,3.1986731175506815,1415.0,7.254884810077338,No,0.0,,0.0,,Yes,No,No,None,Yes,No,Yes,Yes,No,Yes,21.0,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,1.0
9,0649-TBFJFL-QU4,Zone 5,"50,000-249,999",Male,63.0,50-64,May,14.0,High school degree,"Operation, Fabrication, General Labor",Yes,29.0,More than 15,No,424.0,6.049733455231958,$125+,10.7,13.111352,2.573478419842022,32.256648,3.4737241615328305,No,Somewhat satisfied,Married,20.0,Post-undergraduate degree,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Own,Condominium/Townhouse,29.0,More than 25,3.0,Own,Domestic,88.60000000000001,Luxury,No,Yes,Car,Single occupancy,29.0,Yes,No,No,No,Yes,No,No,No,No,Yes,,Slightly liberal,No,No,Yes,Mastercard,Platinum,Cash back,No,36.0,More than 15,Visa,Platinum,Airline miles,Yes,29.0,More than 15,10.0,495.75,10.0,798.3100000000001,No,Energy bar,70.0,No,34.8,3.5496173867804286,2540.15,7.839978413387008,Yes,45.25,3.8122026701459353,3165.45,8.060050504566432,No,0.0,,0.0,,Yes,19.75,2.9831534913471307,1325.0,7.1891677384203225,No,0.0,,0.0,,Yes,Yes,No,None,Yes,No,Yes,Yes,Yes,Yes,24.0,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,1.0
