,custid,region,townsize,gender,agecat,edcat,jobcat,empcat,retire,lninc,inccat,debtinc,lncreddebt,lnothdebt,marital,spousedcat,reside,hometype,addresscat,carcatvalue,telecommute,reason,cardspent,tenure,churn,longmon,tollmon,cardmon,wiremon,multline,voice,internet,callwait,forward,confer,ebill,owntv,ownpc
0,3964-QJWTRG-NPN,Zone 1,"50,000-249,999",Female,18-24,Some college,Managerial and Professional,Less than 2,No,3.4339872044851463,$25 - $49,11.1,0.18307877003563325,0.8065164900417755,Unmarried,,3.0,Multiple-Family,Less than 3,Economy,No,,81.66,5.0,Yes,6.5,29.0,14.25,0.0,Yes,Yes,None,Yes,Yes,Yes,No,Yes,No
1,5195-TLUDJE-HVO,Zone 3,"2,500-9,999",Female,>65,High school degree,Sales and Office,More than 15,No,3.5553480614894135,$25 - $49,9.9,-0.0740556658294137,0.9307378676210412,Married,High school degree,3.0,Single-family,More than 25,Economy,No,Convenience,184.22,65.0,No,28.4,0.0,23.0,0.0,Yes,No,None,No,No,No,No,Yes,No
2,4459-VLPQUH-3OL,Zone 4,"10,000-49,999",Male,18-24,Some college,Sales and Office,Less than 2,No,2.995732273553991,Under $25,5.7,-3.7809947430217417,0.11082555508888482,Married,College degree,5.0,Condominium/Townhouse,4 to 7,Economy,No,,340.99,36.0,No,6.0,0.0,21.0,0.0,Yes,No,DSL,No,No,No,Yes,Yes,Yes
3,7432-QKQFJJ-K72,Zone 2,"< 2,500",Female,50-64,High school degree,Managerial and Professional,6 to 10,No,4.343805421853684,$75 - $124,1.9,-0.68953570977821,-0.03958213845953938,Unmarried,,1.0,Condominium/Townhouse,16 to 25,Standard,No,,822.32,15.0,No,3.8,0.0,0.0,0.0,No,No,Dial-up,No,Yes,No,No,Yes,Yes
4,8959-RZWRHU-ST8,Zone 3,"2,500-9,999",Female,35-49,Some college,Managerial and Professional,11 to 15,No,4.574710978503383,$75 - $124,14.399999999999999,1.7834530663844796,2.081643116434676,Married,Some college,2.0,Condominium/Townhouse,16 to 25,Luxury,No,Convenience,592.7,46.0,No,14.85,24.0,14.5,0.0,Yes,No,None,Yes,Yes,Yes,No,Yes,No
5,3512-MUWBGY-52X,Zone 2,"50,000-249,999",Male,35-49,Did not complete high school,"Operation, Fabrication, General Labor",More than 15,No,4.430816798843313,$75 - $124,4.1000000000000005,0.5711015730385123,0.5150869314838412,Unmarried,,2.0,Single-family,16 to 25,Luxury,No,,199.64000000000001,3.0,Yes,3.65,0.0,0.0,0.0,No,No,None,No,No,No,No,Yes,No
6,5621-QSZPSF-NF2,Zone 4,"> 250,000",Female,50-64,College degree,Managerial and Professional,6 to 10,No,3.8501476017100584,$25 - $49,8.6,0.3060954999624963,0.987266489475726,Unmarried,,1.0,Multiple-Family,8 to 15,Standard,No,,488.97,50.0,Yes,8.55,0.0,19.0,0.0,Yes,No,Cable modem,Yes,No,No,Yes,Yes,Yes
7,8795-FYOXCT-P09,Zone 5,"50,000-249,999",Male,35-49,Did not complete high school,Managerial and Professional,11 to 15,No,4.290459441148391,$50 - $74,2.8000000000000003,0.22388567587164707,-0.23184126701740562,Unmarried,,1.0,Condominium/Townhouse,8 to 15,Standard,No,,534.36,5.0,No,6.75,0.0,7.0,0.0,No,No,Dial-up,Yes,Yes,Yes,No,Yes,Yes
8,1705-NMIQNO-IC4,Zone 3,"50,000-249,999",Male,50-64,College degree,Managerial and Professional,2 to 5,No,4.143134726391533,$50 - $74,10.5,0.6549077857562743,1.5454400451169095,Unmarried,,1.0,Mobile Home,More than 25,,No,,593.5,58.0,No,12.1,30.75,24.5,0.0,Yes,No,None,No,Yes,Yes,No,Yes,Yes
9,0649-TBFJFL-QU4,Zone 5,"50,000-249,999",Male,50-64,High school degree,"Operation, Fabrication, General Labor",More than 15,No,6.049733455231958,$125+,10.7,2.573478419842022,3.4737241615328305,Married,Post-undergraduate degree,2.0,Condominium/Townhouse,More than 25,Luxury,Yes,,495.75,70.0,No,34.8,45.25,19.75,0.0,Yes,Yes,None,No,Yes,Yes,Yes,Yes,No
10,2228-KOLOPU-FY3,Zone 5,"< 2,500",Female,25-34,Did not complete high school,Managerial and Professional,2 to 5,No,3.1354942159291497,Under $25,4.8,-1.6555237366294544,-0.09101063610354213,Married,High school degree,3.0,Single-family,4 to 7,,Yes,,442.09000000000003,34.0,No,3.45,33.0,16.5,0.0,No,No,None,Yes,Yes,Yes,No,Yes,No
11,0765-UXAFYM-PDR,Zone 3,"10,000-49,999",Male,50-64,Some college,Managerial and Professional,2 to 5,No,3.5553480614894135,$25 - $49,10.100000000000001,0.2100299425688263,0.8334676625749683,Married,High school degree,2.0,Multiple-Family,More than 25,Economy,No,,271.98,53.0,No,11.2,0.0,9.5,0.0,No,Yes,Dial-up,Yes,Yes,Yes,No,Yes,Yes
12,9937-SFPLRK-H9Y,Zone 2,"2,500-9,999",Male,>65,College degree,Sales and Office,2 to 5,No,3.332204510175204,$25 - $49,9.3,0.17834365542473107,0.34271272421066723,Married,College degree,2.0,Multiple-Family,8 to 15,Economy,No,,267.71,59.0,Yes,14.25,23.5,15.25,0.0,Yes,No,Cable modem,Yes,No,Yes,No,Yes,Yes
